userID;condition;rep_0--amp_0--wav_100;rep_0--amp_0--wav_200;rep_0--amp_0--wav_400;rep_0--amp_0--wav_50;rep_0--amp_0--wav_800;rep_0--amp_12--wav_100;rep_0--amp_12--wav_200;rep_0--amp_12--wav_400;rep_0--amp_12--wav_50;rep_0--amp_12--wav_800;rep_0--amp_24--wav_100;rep_0--amp_24--wav_100;rep_0--amp_24--wav_200;rep_0--amp_24--wav_200;rep_0--amp_24--wav_400;rep_0--amp_24--wav_400;rep_0--amp_24--wav_50;rep_0--amp_24--wav_50;rep_0--amp_24--wav_800;rep_0--amp_24--wav_800;rep_0--amp_6--wav_100;rep_0--amp_6--wav_200;rep_0--amp_6--wav_400;rep_0--amp_6--wav_50;rep_0--amp_6--wav_800;rep_1--amp_0--wav_100;rep_1--amp_0--wav_200;rep_1--amp_0--wav_400;rep_1--amp_0--wav_50;rep_1--amp_0--wav_800;rep_1--amp_12--wav_100;rep_1--amp_12--wav_200;rep_1--amp_12--wav_400;rep_1--amp_12--wav_50;rep_1--amp_12--wav_800;rep_1--amp_24--wav_100;rep_1--amp_24--wav_100;rep_1--amp_24--wav_200;rep_1--amp_24--wav_200;rep_1--amp_24--wav_400;rep_1--amp_24--wav_400;rep_1--amp_24--wav_50;rep_1--amp_24--wav_50;rep_1--amp_24--wav_800;rep_1--amp_24--wav_800;rep_1--amp_6--wav_100;rep_1--amp_6--wav_200;rep_1--amp_6--wav_400;rep_1--amp_6--wav_50;rep_1--amp_6--wav_800
1;;6334;9775;6776;5981;12667;911;663;2850;746;6152;580;454;928;796;1148;961;735;613;5384;613;1149;845;2813;862;2159;2878;6070;7108;5302;7393;862;1110;1757;619;2319;779;514;415;928;928;829;464;746;1640;1094;1707;911;7340;2585;2187
2;;25011;25004;25014;25005;25010;1047;2170;5972;1044;8498;1213;1127;911;1359;1524;1955;796;1061;837;10454;2374;11269;15666;796;25011;25008;25003;25011;25013;25005;531;2060;3280;1176;25015;2021;1458;646;1127;1541;950;784;564;4275;1806;713;1956;4841;1332;25010
